location,scene_id,detector_name,n_total,n_oversized_excluded,n_matched,precision,false_discovery_rate,n_buildings_found,n_buildings_total,recall,f1,iou_threshold,n_raw
istanbul,S2C_MSIL2A_20260426T085601_R007_T35TPF_20260426T143618,naive,1544,0,367,23.769430051813472,76.23056994818653,367,5819,6.306925588589104,9.968762732581828,0.25,1544
istanbul,S2C_MSIL2A_20260426T085601_R007_T35TPF_20260426T143618,owlvit,0,0,0,,,0,5819,0.0,0.0,0.25,0
istanbul,S2C_MSIL2A_20260426T085601_R007_T35TPF_20260426T143618,hybrid,0,0,0,,,0,5819,0.0,0.0,0.25,0
marrakech,S2B_MSIL2A_20260729T110619_R137_T29SNR_20260729T134723,naive,334,1,26,7.7844311377245505,92.21556886227545,26,13402,0.19400089538874796,0.37856726849155503,0.25,335
marrakech,S2B_MSIL2A_20260729T110619_R137_T29SNR_20260729T134723,owlvit,0,3,0,,,0,13402,0.0,0.0,0.25,3
marrakech,S2B_MSIL2A_20260729T110619_R137_T29SNR_20260729T134723,hybrid,0,0,0,,,0,13402,0.0,0.0,0.25,0
nottingham,S2C_MSIL2A_20260525T110621_R137_T30UXD_20260525T144513,naive,500,0,37,7.4,92.6,37,8325,0.4444444444444444,0.8385269121813032,0.25,500
nottingham,S2C_MSIL2A_20260525T110621_R137_T30UXD_20260525T144513,owlvit,0,0,0,,,0,8325,0.0,0.0,0.25,0
nottingham,S2C_MSIL2A_20260525T110621_R137_T30UXD_20260525T144513,hybrid,0,0,0,,,0,8325,0.0,0.0,0.25,0
ankara,S2A_MSIL2A_20260701T084501_R064_T36TVK_20260701T134111,naive,2750,7,133,4.836363636363636,95.16363636363636,133,6769,1.9648397104446742,2.7944111776447107,0.25,2757
ankara,S2A_MSIL2A_20260701T084501_R064_T36TVK_20260701T134111,owlvit,0,2,0,,,0,6769,0.0,0.0,0.25,2
ankara,S2A_MSIL2A_20260701T084501_R064_T36TVK_20260701T134111,hybrid,0,0,0,,,0,6769,0.0,0.0,0.25,0
london,S2C_MSIL2A_20260525T110621_R137_T30UXC_20260525T144513,naive,1116,0,82,7.347670250896058,92.65232974910394,82,8801,0.9317123054198386,1.6537259251789855,0.25,1116
london,S2C_MSIL2A_20260525T110621_R137_T30UXC_20260525T144513,owlvit,1,0,0,0.0,100.0,0,8801,0.0,0.0,0.25,1
london,S2C_MSIL2A_20260525T110621_R137_T30UXC_20260525T144513,hybrid,3,0,0,0.0,100.0,0,8801,0.0,0.0,0.25,3
prague,S2A_MSIL2A_20260814T100041_R122_T33UVR_20260814T151116,naive,1929,2,481,24.935199585277346,75.06480041472265,481,8237,5.839504674031808,9.462915601023019,0.25,1931
prague,S2A_MSIL2A_20260814T100041_R122_T33UVR_20260814T151116,owlvit,0,1,0,,,0,8237,0.0,0.0,0.25,1
prague,S2A_MSIL2A_20260814T100041_R122_T33UVR_20260814T151116,hybrid,0,0,0,,,0,8237,0.0,0.0,0.25,0
new_delhi,S2B_MSIL2A_20260617T052649_R105_T43RGM_20260617T104156,naive,2081,1,105,5.045651129264777,94.95434887073522,105,1435,7.317073170731708,5.972696245733788,0.25,2082
new_delhi,S2B_MSIL2A_20260617T052649_R105_T43RGM_20260617T104156,owlvit,0,0,0,,,0,1435,0.0,0.0,0.25,0
new_delhi,S2B_MSIL2A_20260617T052649_R105_T43RGM_20260617T104156,hybrid,0,0,0,,,0,1435,0.0,0.0,0.25,0
