location,detector,iou,precision,recall,f1,matches
istanbul,naive,0.1,55.24611398963731,14.658876095549063,23.169903571913622,853
istanbul,naive,0.25,23.769430051813472,6.306925588589104,9.968762732581828,367
istanbul,naive,0.5,2.3963730569948187,0.6358480838632067,1.0050251256281406,37
istanbul,owlvit,0.1,,0.0,0.0,0
istanbul,owlvit,0.25,,0.0,0.0,0
istanbul,owlvit,0.5,,0.0,0.0,0
istanbul,hybrid,0.1,,0.0,0.0,0
istanbul,hybrid,0.25,,0.0,0.0,0
istanbul,hybrid,0.5,,0.0,0.0,0
marrakech,naive,0.1,17.964071856287426,0.4476943739740337,0.8736167734420501,60
marrakech,naive,0.25,7.7844311377245505,0.19400089538874796,0.37856726849155503,26
marrakech,naive,0.5,0.2994011976047904,0.0074615728995672285,0.014560279557367502,1
marrakech,owlvit,0.1,,0.0,0.0,0
marrakech,owlvit,0.25,,0.0,0.0,0
marrakech,owlvit,0.5,,0.0,0.0,0
marrakech,hybrid,0.1,,0.0,0.0,0
marrakech,hybrid,0.25,,0.0,0.0,0
marrakech,hybrid,0.5,,0.0,0.0,0
nottingham,naive,0.1,15.8,0.948948948948949,1.7903682719546743,79
nottingham,naive,0.25,7.4,0.4444444444444444,0.8385269121813032,37
nottingham,naive,0.5,0.8,0.04804804804804805,0.0906515580736544,4
nottingham,owlvit,0.1,,0.0,0.0,0
nottingham,owlvit,0.25,,0.0,0.0,0
nottingham,owlvit,0.5,,0.0,0.0,0
nottingham,hybrid,0.1,,0.0,0.0,0
nottingham,hybrid,0.25,,0.0,0.0,0
nottingham,hybrid,0.5,,0.0,0.0,0
ankara,naive,0.1,13.563636363636364,5.510415127788447,7.836957663620129,373
ankara,naive,0.25,4.836363636363636,1.9648397104446742,2.7944111776447107,133
ankara,naive,0.5,0.7636363636363637,0.31023784901758017,0.44122281752284903,21
ankara,owlvit,0.1,,0.0,0.0,0
ankara,owlvit,0.25,,0.0,0.0,0
ankara,owlvit,0.5,,0.0,0.0,0
ankara,hybrid,0.1,,0.0,0.0,0
ankara,hybrid,0.25,,0.0,0.0,0
ankara,hybrid,0.5,,0.0,0.0,0
london,naive,0.1,21.684587813620073,2.749687535507329,4.880508218211153,242
london,naive,0.25,7.347670250896058,0.9317123054198386,1.6537259251789855,82
london,naive,0.5,0.5376344086021505,0.06817407112828087,0.12100433598870626,6
london,owlvit,0.1,0.0,0.0,0.0,0
london,owlvit,0.25,0.0,0.0,0.0,0
london,owlvit,0.5,0.0,0.0,0.0,0
london,hybrid,0.1,0.0,0.0,0.0,0
london,hybrid,0.25,0.0,0.0,0.0,0
london,hybrid,0.5,0.0,0.0,0.0,0
prague,naive,0.1,48.15966822187662,11.278378050261017,18.27660830218375,929
prague,naive,0.25,24.935199585277346,5.839504674031808,9.462915601023019,481
prague,naive,0.5,3.2141005702436494,0.7527012261745781,1.21975211489278,62
prague,owlvit,0.1,,0.0,0.0,0
prague,owlvit,0.25,,0.0,0.0,0
prague,owlvit,0.5,,0.0,0.0,0
prague,hybrid,0.1,,0.0,0.0,0
prague,hybrid,0.25,,0.0,0.0,0
prague,hybrid,0.5,,0.0,0.0,0
new_delhi,naive,0.1,15.665545410860163,22.717770034843205,18.543799772468713,326
new_delhi,naive,0.25,5.045651129264777,7.317073170731708,5.972696245733788,105
new_delhi,naive,0.5,0.7208073041806824,1.0452961672473868,0.8532423208191127,15
new_delhi,owlvit,0.1,,0.0,0.0,0
new_delhi,owlvit,0.25,,0.0,0.0,0
new_delhi,owlvit,0.5,,0.0,0.0,0
new_delhi,hybrid,0.1,,0.0,0.0,0
new_delhi,hybrid,0.25,,0.0,0.0,0
new_delhi,hybrid,0.5,,0.0,0.0,0
